kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount
youtube#video,j7eTNxNm_9SKbSG49cd6mPyXhek,PUr4DLWzglk,2025-11-09T15:01:54Z,UCIwE33gDkznkuot-fU-WcOg,SAY CHEESE!,"Provided to YouTube by Universal Music Group

SAY CHEESE! · BOYNEXTDOOR

SAY CHEESE!

℗ 2025 KOZ Entertainment

Released on: 2025-11-10

Lyricist, Recordingarranger, Composer: Wuk
Background Vocalist, Recordingarranger, Digital Editing Engineer, Composer, Lyricist: jaedogi
Composer, Lyricist, Recordingarranger, Background Vocalist: eldon
Vocalist: BOYNEXTDOOR
Recording Engineer: Bokyeong Wang
Recording Engineer: Minhee Hwang
Mixing Engineer: Yoon Won Kwon
Mastering Engineer: Namwoo Kwon
Lyricist: Anna Kusakawa

Auto-generated by YouTube.",https://i.ytimg.com/vi/PUr4DLWzglk/default.jpg,120,90,https://i.ytimg.com/vi/PUr4DLWzglk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PUr4DLWzglk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/PUr4DLWzglk/sddefault.jpg,640,480,https://i.ytimg.com/vi/PUr4DLWzglk/maxresdefault.jpg,1280.0,720.0,BOYNEXTDOOR - Topic,"['BOYNEXTDOOR', 'ボーイネクストドア', 'SAY CHEESE!', 'セイチーズ']",10,none,en,SAY CHEESE!,"Provided to YouTube by Universal Music Group

SAY CHEESE! · BOYNEXTDOOR

SAY CHEESE!

℗ 2025 KOZ Entertainment

Released on: 2025-11-10

Lyricist, Recordingarranger, Composer: Wuk
Background Vocalist, Recordingarranger, Digital Editing Engineer, Composer, Lyricist: jaedogi
Composer, Lyricist, Recordingarranger, Background Vocalist: eldon
Vocalist: BOYNEXTDOOR
Recording Engineer: Bokyeong Wang
Recording Engineer: Minhee Hwang
Mixing Engineer: Yoon Won Kwon
Mastering Engineer: Namwoo Kwon
Lyricist: Anna Kusakawa

Auto-generated by YouTube.",ko,132683,15400,0,826
youtube#video,zV4E5z_MDpFqWk9RjUXkbJT3OV4,CIR7uGXHP7o,2025-11-09T14:41:22Z,UCkbJc8jMcTXwhtmN5VMwfXg,서울 자가에 대기업 다니는 김 부장 이야기 7회 예고편 - 심부름꾼이라도 해야지,"희망퇴직 폭풍이 ACT 전체를 휘감고, 공장에선 김 부장(류승룡)을 향한 의심과 경계의 시선이 거세진다.
김 부장의 미묘한 태도는 공장 전체의 불안을 키우고, 직원들 사이엔 균열과 불신이 깊어진다.
결국, 벼랑 끝에서 살아남기 위한 선택을 앞둔 김 부장은 끝내 본사로 향하는데…

JTBC 토일드라마 〈서울 자가에 대기업 다니는 김 부장 이야기〉
11월 15일 토요일 밤 10시 40분 방송!

#서울자가에대기업다니는김부장이야기 #JTBC토일드라마 #류승룡

📌 공홈에서 리플레이 : https://tv.jtbc.co.kr/thedreamlifeofmrkim",https://i.ytimg.com/vi/CIR7uGXHP7o/default.jpg,120,90,https://i.ytimg.com/vi/CIR7uGXHP7o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CIR7uGXHP7o/hqdefault.jpg,480,360,https://i.ytimg.com/vi/CIR7uGXHP7o/sddefault.jpg,640,480,https://i.ytimg.com/vi/CIR7uGXHP7o/maxresdefault.jpg,1280.0,720.0,JTBC Drama,"['류승룡', '명세빈', '차강윤', '김부장이야기', '드라마김부장이야기', 'JTBC토일드라마', 'JTBC서울자가에대기업다니는김부장이야기', 'JTBC김부장이야기', 'JTBC드라마', '토일드라마', '서울자가에대기업다니는김부장이야기7회예고', '서울자가에대기업다니는김부장이야기', '드라마서울자가에대기업다니는김부장이야기', '류승룡김부장이야기', '명세빈김부장이야기']",24,none,ko,서울 자가에 대기업 다니는 김 부장 이야기 7회 예고편 - 심부름꾼이라도 해야지,"희망퇴직 폭풍이 ACT 전체를 휘감고, 공장에선 김 부장(류승룡)을 향한 의심과 경계의 시선이 거세진다.
김 부장의 미묘한 태도는 공장 전체의 불안을 키우고, 직원들 사이엔 균열과 불신이 깊어진다.
결국, 벼랑 끝에서 살아남기 위한 선택을 앞둔 김 부장은 끝내 본사로 향하는데…

JTBC 토일드라마 〈서울 자가에 대기업 다니는 김 부장 이야기〉
11월 15일 토요일 밤 10시 40분 방송!

#서울자가에대기업다니는김부장이야기 #JTBC토일드라마 #류승룡

📌 공홈에서 리플레이 : https://tv.jtbc.co.kr/thedreamlifeofmrkim",ko,108750,407,0,201
youtube#video,BS2tTiZ2Q-b7xuFOXEC-Ps6hL-4,5F-hg0B_BSE,2025-11-09T13:46:01Z,UCw1DsweY9b2AKGjV4kGJP1A,KT vs T1 | 결승전 | 2025 월드 챔피언십,"#Worlds2025 #LCK #LCKWIN #GEN #HLE #KT #T1

📌플레이-인: 10월 14일
📌스위스 스테이지: 10월 15~25일
📌토너먼트 스테이지: 10월 28일~11월 2일
📌결승전: 11월 9일

✅ LCK 스토어 신규 오픈: https://lckstore.com
다양한 상품을 지금 바로 온라인에서 확인하세요!

✅ LIVE & LIVE VOD
- LoL e스포츠 홈페이지:  https://lolesports.com/
- 네이버: https://sports.news.naver.com/esports/index.nhn
- SOOP: https://ch.sooplive.co.kr/aflol

✅ LCK 채널 구독 및 좋아요!
- LCK 공식 페이스북:  https://www.facebook.com/officiallck
- LCK 공식 인스타그램:  https://www.instagram.com/lckofficial/
- LCK 공식 틱톡 : https://tiktok.com/@lck_official
- LCK 공식 트위터 (영문):  https://twitter.com/LCK

* LCK 채널의 모든 영상은 라이엇 게임즈 코리아의 자산으로, 본 콘텐츠를 무단 복제, 도용하거나 상업적으로 이용하는 행위는 금지되며 이를 위반할 경우 관련법에 의거 법적 처벌을 받을 수 있음을 알려드립니다.",https://i.ytimg.com/vi/5F-hg0B_BSE/default.jpg,120,90,https://i.ytimg.com/vi/5F-hg0B_BSE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5F-hg0B_BSE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5F-hg0B_BSE/sddefault.jpg,640,480,https://i.ytimg.com/vi/5F-hg0B_BSE/maxresdefault.jpg,1280.0,720.0,LCK,"['LCK', 'LCK Korea', '롤챔스', '티원', '에욱', 'SNL', 'LCK썸네일', '편집자', '스크', 'T1', 'SKT', 'skt', 't1', '썸네일', 'DK', 'GEN', 'DRX', 'KT', 'HLE', 'POG', 'MVP', 'WORLDS', '롤드컵', 'MSI', 'ALLSTAR', 'lck 서머', 'lck 썸머', 'lck 써머', 'lck 스프링', 'lck summer', 'lck spring', 'LSB', 'NS', '한화생명', '농심', '케이티', '젠지', '아프리카', '담원', '브리온', 'Brion', 'BRO', '므시', '올스타', '매드무비', '위클리 코맨터리', 'MIC Check', 'MIC 첵', '롤분토론', '동준좌', '클템', '성캐', '위클리 매드무비', '전프시', '오프더레코드', '월드챔피언십', '단톡', '롤더넥', '마이크체크', '광동', '광동프릭스', 'KDF', 'Kwangdong Freecs', '베스트모먼트', '롤리나잇', '레알클래스', '성캐쇼', 'LCK10주년', '혓바닥터스', '헬리오스', '캡틴잭', '빠른별', '샤이', '리브샌박', '디플러스 기아', '디플', '플레임', '시크릿보드룸', '단군', '리뷰데스크', '포니', '꼬꼬갓', '고수진', '배혜지', '함예진', '윤수빈', '2023LCK', '2023롤챔스', '노페', '후니', '박진영']",20,none,ko,KT vs T1 | 결승전 | 2025 월드 챔피언십,"#Worlds2025 #LCK #LCKWIN #GEN #HLE #KT #T1

📌플레이-인: 10월 14일
📌스위스 스테이지: 10월 15~25일
📌토너먼트 스테이지: 10월 28일~11월 2일
📌결승전: 11월 9일

✅ LCK 스토어 신규 오픈: https://lckstore.com
다양한 상품을 지금 바로 온라인에서 확인하세요!

✅ LIVE & LIVE VOD
- LoL e스포츠 홈페이지:  https://lolesports.com/
- 네이버: https://sports.news.naver.com/esports/index.nhn
- SOOP: https://ch.sooplive.co.kr/aflol

✅ LCK 채널 구독 및 좋아요!
- LCK 공식 페이스북:  https://www.facebook.com/officiallck
- LCK 공식 인스타그램:  https://www.instagram.com/lckofficial/
- LCK 공식 틱톡 : https://tiktok.com/@lck_official
- LCK 공식 트위터 (영문):  https://twitter.com/LCK

* LCK 채널의 모든 영상은 라이엇 게임즈 코리아의 자산으로, 본 콘텐츠를 무단 복제, 도용하거나 상업적으로 이용하는 행위는 금지되며 이를 위반할 경우 관련법에 의거 법적 처벌을 받을 수 있음을 알려드립니다.",en,10789663,,0,761
youtube#video,J_L3jJVo6Az88mVvLbG6joplybk,WqtNRnYDZuo,2025-11-03T13:21:36Z,UCk30waAVsGbvc2n_8aQGpkQ,Officially Missing You,"Provided to YouTube by Mirrorball Music

Officially Missing You · Geeks

Officially Missing You

℗ 킹핀엔터테인먼트

Released on: 2011-03-09

Auto-generated by YouTube.",https://i.ytimg.com/vi/WqtNRnYDZuo/default.jpg,120,90,https://i.ytimg.com/vi/WqtNRnYDZuo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/WqtNRnYDZuo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/WqtNRnYDZuo/sddefault.jpg,640,480,https://i.ytimg.com/vi/WqtNRnYDZuo/maxresdefault.jpg,1280.0,720.0,Geeks - Topic,"['Geeks', '긱스', 'Officially Missing You']",10,none,ko,Officially Missing You,"Provided to YouTube by Mirrorball Music

Officially Missing You · Geeks

Officially Missing You

℗ 킹핀엔터테인먼트

Released on: 2011-03-09

Auto-generated by YouTube.",ko,145615,392,0,0
youtube#video,lsNs0UVV9qQxeRx8Oanju02y2iY,2W7z4SB8Vy8,2025-11-09T03:06:13Z,UCsSsgPaZ2GSmO6il8Cb5iGA,skibidi toilet: emergence | official trailer,"skibidi toilet: emergence.
set within the universe of skibidi toilet, this new series follows the escalating war as the stakes rise and something bigger begins to take shape.

things are just getting started…

-

Executive Produced by Boom! 
Made with Unreal Engine.",https://i.ytimg.com/vi/2W7z4SB8Vy8/default.jpg,120,90,https://i.ytimg.com/vi/2W7z4SB8Vy8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2W7z4SB8Vy8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2W7z4SB8Vy8/sddefault.jpg,640,480,https://i.ytimg.com/vi/2W7z4SB8Vy8/maxresdefault.jpg,1280.0,720.0,DaFuq!?Boom!,"['skibidi toilet', 'skibidi toilet emergence', 'skibidi emergence', 'skibidi toilet new series', 'skibidi toilet 80', 'skibidi explained', 'skibidi lore', 'skibidi storyline', 'skibidi arc', 'skibidi war', 'cameraman', 'tv woman', 'speakerman', 'secret agent', 'watchman of doom', 'astro toilet', 'astros vs alliance', 'alliance vs astros', 'Dafuqboom', 'unreal engine animation', 'skibidi universe', 'skibidee toilet', 'Skebedee', 'toilet skibidi', 'brainrot', 'emergence trailer', 'skibidi trailer', 'teaser', 'skibidi spoiler']",24,none,en,skibidi toilet: emergence | official trailer,"skibidi toilet: emergence.
set within the universe of skibidi toilet, this new series follows the escalating war as the stakes rise and something bigger begins to take shape.

things are just getting started…

-

Executive Produced by Boom! 
Made with Unreal Engine.",en,2018617,133402,0,22517
youtube#video,x07gJpsyq3zUGa0yFSdsWjiQesg,BMfbXFiULCQ,2025-11-09T14:03:04Z,UCfIUuMA7U_jImP7oWfTe4Pw,"【롤드컵 결승 T1 vs KT】""Earn your legacy""","- 길게 보는 이상호 채널!
https://www.youtube.com/channel/UCVjpScoV0uW8-nnFApUeMDQ

- BGM 브금대통령
https://www.youtube.com/user/GwooA

[ 여러분의 구독, 좋아요, 댓글은 큰 힘이 됩니다! ]

- 이상호 생방송: http://afreecatv.com/lshooooo
- 이상호 인스타그램 : https://goo.gl/I00Hk1
- 광고 및 문의 : creators@iambrand.co.kr",https://i.ytimg.com/vi/BMfbXFiULCQ/default.jpg,120,90,https://i.ytimg.com/vi/BMfbXFiULCQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BMfbXFiULCQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/BMfbXFiULCQ/sddefault.jpg,640,480,https://i.ytimg.com/vi/BMfbXFiULCQ/maxresdefault.jpg,1280.0,720.0,이상호,"['이상호', '피파4', '피파온라인4', 'FIFA', 'FIFA 온라인 4', '이상호 피파', 'FC온라인']",20,none,ko,"【롤드컵 결승 T1 vs KT】""Earn your legacy""","- 길게 보는 이상호 채널!
https://www.youtube.com/channel/UCVjpScoV0uW8-nnFApUeMDQ

- BGM 브금대통령
https://www.youtube.com/user/GwooA

[ 여러분의 구독, 좋아요, 댓글은 큰 힘이 됩니다! ]

- 이상호 생방송: http://afreecatv.com/lshooooo
- 이상호 인스타그램 : https://goo.gl/I00Hk1
- 광고 및 문의 : creators@iambrand.co.kr",ko,517805,5477,0,567
youtube#video,QZx_c_cdgTA3cLiPiAcupYp69eU,TcFvg3zJGf8,2025-11-07T09:02:47Z,UC_awP1c4-p355drDjtefLyQ,If It Were Me,"Provided to YouTube by Kakao Entertainment

If It Were Me · Na Yoon Kwon · D.O. · kang hwa seong · Kim Hyung Suk · Kim Hyung Suk

If It Were Me

℗ 2025 S27M Entertainment, COMPANYSOOSOO,under license to Kakao Entertainment

Released on: 2025-11-07

Lyricist: ﻿김형석
Composer: ﻿김형석
Arranger: ﻿강화성

Auto-generated by YouTube.",https://i.ytimg.com/vi/TcFvg3zJGf8/default.jpg,120,90,https://i.ytimg.com/vi/TcFvg3zJGf8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TcFvg3zJGf8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/TcFvg3zJGf8/sddefault.jpg,640,480,https://i.ytimg.com/vi/TcFvg3zJGf8/maxresdefault.jpg,1280.0,720.0,Na Yoon Kwon - Topic,"['Na Yoon Kwon', '나윤권', 'D.O.', '도경수(D.O.)', 'kang hwa seong', 'Kim Hyung Suk', 'If It Were Me', '나였으면']",10,none,en,If It Were Me,"Provided to YouTube by Kakao Entertainment

If It Were Me · Na Yoon Kwon · D.O. · kang hwa seong · Kim Hyung Suk · Kim Hyung Suk

If It Were Me

℗ 2025 S27M Entertainment, COMPANYSOOSOO,under license to Kakao Entertainment

Released on: 2025-11-07

Lyricist: ﻿김형석
Composer: ﻿김형석
Arranger: ﻿강화성

Auto-generated by YouTube.",ko,268241,4901,0,0
youtube#video,87wUSc8PgQ3k9_kVZ16Z5QQ9MnA,zvLuljlJVrI,2025-11-06T23:01:20Z,UCNIiH_4ArJNd_cDZApZ7AFg,[친애하는 X] 필요한 만큼만 사랑해 보려고 | 5-6화 예고(Blur On)ㅣTVING | Dear X,"정상을 위해 가짜 사랑까지 마음먹은 백아진
사랑도 그녀에겐 도구에 불과할 뿐...💔

파멸 멜로 서스펜스
티빙 오리지널 [친애하는 X]
오직 TVING에서

티빙 바로가기 : https://tving.onelink.me/xHqC/1646c09f

#TVING #티빙 #티빙오리지널 #친애하는X #김유정 #김영대 #김도훈 #이열음 #황인엽 #KimYoujung #KimYoungdae #KimDohoon #LeeYuleum #HwangInyoup #DearX #kdrama",https://i.ytimg.com/vi/zvLuljlJVrI/default.jpg,120,90,https://i.ytimg.com/vi/zvLuljlJVrI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/zvLuljlJVrI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/zvLuljlJVrI/sddefault.jpg,640,480,https://i.ytimg.com/vi/zvLuljlJVrI/maxresdefault.jpg,1280.0,720.0,TVING,,24,none,ko,[친애하는 X] 필요한 만큼만 사랑해 보려고 | 5-6화 예고(Blur On)ㅣTVING | Dear X,"정상을 위해 가짜 사랑까지 마음먹은 백아진
사랑도 그녀에겐 도구에 불과할 뿐...💔

파멸 멜로 서스펜스
티빙 오리지널 [친애하는 X]
오직 TVING에서

티빙 바로가기 : https://tving.onelink.me/xHqC/1646c09f

#TVING #티빙 #티빙오리지널 #친애하는X #김유정 #김영대 #김도훈 #이열음 #황인엽 #KimYoujung #KimYoungdae #KimDohoon #LeeYuleum #HwangInyoup #DearX #kdrama",ko,126937,1294,0,107
youtube#video,2j569pDxiSSIzfk78gXgnLHIyE4,5xQKdHmYpsU,2025-11-09T22:06:37Z,UCt15X5eHLwyP8PpNtQTkuDQ,롤드컵 결승전 T1 vs KT 도파의 시선,"치지직 방송국 :https://chzzk.naver.com/live/c847a58a1599988f6154446c75366523
숲 방송국:https://play.sooplive.co.kr/drexpp/281589320
도파 팬카페 : https://cafe.naver.com/dopa2
구독과 좋아요 알람설정 !! 
apdopagodd@gmail.com
____________________________________________
•타임테이블
0:00 1경기
17:50 2경기
36:00 3경기
51:13 4경기 
1:08:15 5경기
1:28:15 인터뷰",https://i.ytimg.com/vi/5xQKdHmYpsU/default.jpg,120,90,https://i.ytimg.com/vi/5xQKdHmYpsU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5xQKdHmYpsU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5xQKdHmYpsU/sddefault.jpg,640,480,https://i.ytimg.com/vi/5xQKdHmYpsU/maxresdefault.jpg,1280.0,720.0,Official dopa,"['도파', '압도', 'dopa', 'apdo', 'faker', 'dopa vs faker', '쇼메이커', '쵸비', '더샤이', '파카', '랄로', '도랄팤', '도파카', '도파파카', '도파랄로', '파카랄로', 'skt t1', 't1', 'lck', 'lpl', 'lec', 'caps', '트페', '오리아나', '트페vs', '오리아나vs', '카사딘vs', '제드vs', '프레이', '괴물쥐', '피닉스박', '방종우', '이재석']",20,none,ko,롤드컵 결승전 T1 vs KT 도파의 시선,"치지직 방송국 :https://chzzk.naver.com/live/c847a58a1599988f6154446c75366523
숲 방송국:https://play.sooplive.co.kr/drexpp/281589320
도파 팬카페 : https://cafe.naver.com/dopa2
구독과 좋아요 알람설정 !! 
apdopagodd@gmail.com
____________________________________________
•타임테이블
0:00 1경기
17:50 2경기
36:00 3경기
51:13 4경기 
1:08:15 5경기
1:28:15 인터뷰",ko,241529,3579,0,903
youtube#video,G7UoDpHD8Hbh5uri2x4vccCap_k,jB1iEMp6cKY,2025-11-09T13:27:16Z,UCJxtNdTGIIaHEljCDo27b_w,Saja Boys - Soda Pop (Lyrics) | K-Pop Demon Hunters Soundtrack,"🎤 Saja Boys - Soda Pop (Lyrics) | K-Pop Demon Hunters Soundtrack 

Stream/Download: https://open.spotify.com/track/02sy7FAs8dkDNYsHp4Ul3f

Follow Saja Boys:
▶ https://open.spotify.com/artist/0BJ2EjOqcfgFvlZXNKrNbE
▶ https://facebook.com/ikonsmusic
▶ https://www.instagram.com/saja_wolfpack/
▶ https://x.com/ikonsmusic

Follow K-Pop Demon Hunters:
▶ https://open.spotify.com/artist/7mW7Tv7NvywKKXqafZo0Lc

Contact.Submit your track: 
▶ hello.fireplay@gmail.com

........
🎤  Lyrics ""Saja Boys - Soda Pop (Lyrics) | K-Pop Demon Hunters""

[Intro]
Hey, hey
Hey, hey
Hey

[Verse 1: Jinu]
Don't want you, need you
Yeah, I need you to fill me up
Masigo masyeo bwado
Seonge chaji ana
Got a feeling that, oh, yeah (Yeah)
You could be everything that
That I need (Need), taste so sweet (Sweet)
Every sip makes me want more, yeah

[Verse 2: Mystery, Romance, Abby]
Lookin like snacks 'cause you got it like that (Woo)
Take a big bite, want another bite, yeah
Neoui modeun geol nan wonhae, wonhae, wonhae
Neo malgon modu pyeonhae, pyeonhae, pyeonhae
Whеn you're in my arms, I hold you so tight (So tight)
Can't let go, no, no, not tonight

[Pre-Chorus: Jinu, Romance, All, Baby]
Jigeum dangjang nal bwa sigan еopjana
Neon naekkeoya imi algo itjana
'Cause I need you to need me
I'm empty, you feed me so refreshing
My little soda pop

[Chorus: All]
You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop
Cool me down, you're so hot
Pour me up, I won't stop
You're my soda pop
My little soda pop

[Post-Chorus: All]
My little soda pop

[Verse 3: Baby, Abby]
Uh, make me wanna flip the top
Han mogeume you hit the spot
Every little drip and drop, fizz and pop, ah
Soreum doda it's gettin' hot
Yes, I'm sippin' when it's drippin' now
It's done? I need a second round
And pour a lot and don't you stop
'Til my soda pop fizzles out

[Pre-Chorus: Romance, Mystery, Abby, Romance & Mystery]
Kkum soge geuryeowatdeon neo
Nan jeoldae nochil su eopseo
Neol wonhae kkok
I waited so long for a taste of soda
So, the wait is over, baby
Come and fill me up
Just can't get enough
Oh

[Chorus: All]
You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop (Yeah, yeah)
Cool me down, you're so hot
Pour me up, I won't stop (Oh, oh)
You're my soda pop
My little soda pop

[Outro: Jinu]
Ooh, ooh
Ooh, ooh
You're my soda pop
Gotta drink every drop

🔥 Make sure to subscribe and turn notifications on to keep up-to-date with the music we share!

#SajaBoys #SodaPop #KPopDemonHunters #Lyrics #FirePlay #Pop #PopMusic #LyricVideo #Hit",https://i.ytimg.com/vi/jB1iEMp6cKY/default.jpg,120,90,https://i.ytimg.com/vi/jB1iEMp6cKY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jB1iEMp6cKY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/jB1iEMp6cKY/sddefault.jpg,640,480,https://i.ytimg.com/vi/jB1iEMp6cKY/maxresdefault.jpg,1280.0,720.0,FirePlay,"['Saja Boys Soda Pop', 'Saja Boys Soda Pop Lyrics', 'Soda Pop Saja Boys', 'Soda Pop Saja Boys Lyrics', 'Saja Boys', 'Soda Pop', 'Soda Pop Lyrics', 'Saja Boys - Soda Pop', 'Soda Pop - Saja Boys', 'K-Pop Demon Hunters', 'K-Pop Demon Hunters Song', 'K-Pop Demon Hunters Lyrics', 'Saja Boys K-Pop Demon Hunters', 'Soda Pop K-Pop Demon Hunters', 'soda pop kpop demon hunter', 'soda pop song', 'soda pop dance', 'soda pop lyrics', 'soda pop demon hunters', 'soda pop demon hunters lyrics', 'soda pop karaoke', 'TikTok', 'Lyrics']",10,none,en,Saja Boys - Soda Pop (Lyrics) | K-Pop Demon Hunters Soundtrack,"🎤 Saja Boys - Soda Pop (Lyrics) | K-Pop Demon Hunters Soundtrack 

Stream/Download: https://open.spotify.com/track/02sy7FAs8dkDNYsHp4Ul3f

Follow Saja Boys:
▶ https://open.spotify.com/artist/0BJ2EjOqcfgFvlZXNKrNbE
▶ https://facebook.com/ikonsmusic
▶ https://www.instagram.com/saja_wolfpack/
▶ https://x.com/ikonsmusic

Follow K-Pop Demon Hunters:
▶ https://open.spotify.com/artist/7mW7Tv7NvywKKXqafZo0Lc

Contact.Submit your track: 
▶ hello.fireplay@gmail.com

........
🎤  Lyrics ""Saja Boys - Soda Pop (Lyrics) | K-Pop Demon Hunters""

[Intro]
Hey, hey
Hey, hey
Hey

[Verse 1: Jinu]
Don't want you, need you
Yeah, I need you to fill me up
Masigo masyeo bwado
Seonge chaji ana
Got a feeling that, oh, yeah (Yeah)
You could be everything that
That I need (Need), taste so sweet (Sweet)
Every sip makes me want more, yeah

[Verse 2: Mystery, Romance, Abby]
Lookin like snacks 'cause you got it like that (Woo)
Take a big bite, want another bite, yeah
Neoui modeun geol nan wonhae, wonhae, wonhae
Neo malgon modu pyeonhae, pyeonhae, pyeonhae
Whеn you're in my arms, I hold you so tight (So tight)
Can't let go, no, no, not tonight

[Pre-Chorus: Jinu, Romance, All, Baby]
Jigeum dangjang nal bwa sigan еopjana
Neon naekkeoya imi algo itjana
'Cause I need you to need me
I'm empty, you feed me so refreshing
My little soda pop

[Chorus: All]
You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop
Cool me down, you're so hot
Pour me up, I won't stop
You're my soda pop
My little soda pop

[Post-Chorus: All]
My little soda pop

[Verse 3: Baby, Abby]
Uh, make me wanna flip the top
Han mogeume you hit the spot
Every little drip and drop, fizz and pop, ah
Soreum doda it's gettin' hot
Yes, I'm sippin' when it's drippin' now
It's done? I need a second round
And pour a lot and don't you stop
'Til my soda pop fizzles out

[Pre-Chorus: Romance, Mystery, Abby, Romance & Mystery]
Kkum soge geuryeowatdeon neo
Nan jeoldae nochil su eopseo
Neol wonhae kkok
I waited so long for a taste of soda
So, the wait is over, baby
Come and fill me up
Just can't get enough
Oh

[Chorus: All]
You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop (Yeah, yeah)
Cool me down, you're so hot
Pour me up, I won't stop (Oh, oh)
You're my soda pop
My little soda pop

[Outro: Jinu]
Ooh, ooh
Ooh, ooh
You're my soda pop
Gotta drink every drop

🔥 Make sure to subscribe and turn notifications on to keep up-to-date with the music we share!

#SajaBoys #SodaPop #KPopDemonHunters #Lyrics #FirePlay #Pop #PopMusic #LyricVideo #Hit",en,241427,646,0,14
